[2021-10-14 17:56:37.33364] [23198] [debug] Dropped table 'urls'
[2021-10-14 17:56:37.39599] [23198] [debug] Dropped table 'images'
[2021-10-14 17:56:37.45888] [23198] [debug] Dropped table 'notes'
[2021-10-14 17:56:37.51598] [23198] [debug] Dropped table 'feature_locations'
[2021-10-14 17:56:37.57988] [23198] [debug] Dropped table 'features'
[2021-10-14 17:56:37.64075] [23198] [debug] Dropped table 'flower_locations'
[2021-10-14 17:56:37.69981] [23198] [debug] Dropped table 'gardens'
[2021-10-14 17:56:37.76523] [23198] [debug] Dropped table 'properties'
[2021-10-14 17:56:37.82364] [23198] [debug] Dropped table 'attributes'
[2021-10-14 17:56:37.88583] [23198] [debug] Dropped table 'attribute_types'
[2021-10-14 17:56:37.94934] [23198] [debug] Dropped table 'flowers'
[2021-10-14 17:56:38.00675] [23198] [debug] Dropped table 'constants'
[2021-10-14 17:56:38.07047] [23198] [debug] Dropped table 'log'
[2021-10-14 17:56:38.38390] [23199] [debug] Created table 'log'
[2021-10-14 17:56:38.44332] [23199] [debug] Created table 'constants'
[2021-10-14 17:56:38.50857] [23199] [debug] Created table 'flowers'
[2021-10-14 17:56:38.56801] [23199] [debug] Created table 'attribute_types'
[2021-10-14 17:56:38.62967] [23199] [debug] Created table 'attributes'
[2021-10-14 17:56:38.69356] [23199] [debug] Created table 'properties'
[2021-10-14 17:56:38.75146] [23199] [debug] Created table 'gardens'
[2021-10-14 17:56:38.81532] [23199] [debug] Created table 'flower_locations'
[2021-10-14 17:56:38.87624] [23199] [debug] Created table 'features'
[2021-10-14 17:56:38.93563] [23199] [debug] Created table 'feature_locations'
[2021-10-14 17:56:39.00051] [23199] [debug] Created table 'notes'
[2021-10-14 17:56:39.05941] [23199] [debug] Created table 'images'
[2021-10-14 17:56:39.12159] [23199] [debug] Created table 'urls'
[2021-10-14 17:56:39.44431] [23200] [debug] Populating all tables
[2021-10-14 17:56:39.70719] [23200] [info] Read 4 records into 'attribute_types'
[2021-10-14 17:56:41.68692] [23200] [info] Read 32 records into 'constants'
[2021-10-14 17:56:41.71750] [23200] [error] flowers. Row: 13. Column min_height undefined
[2021-10-14 17:56:41.71753] [23200] [error] flowers. Row: 13. Column min_width undefined
[2021-10-14 17:56:41.71756] [23200] [error] flowers. Row: 13. Column pig_latin undefined
[2021-10-14 17:56:41.71759] [23200] [error] flowers. Row: 13. Column planted undefined
[2021-10-14 17:56:41.71762] [23200] [error] flowers. Row: 13. Column thumbnail undefined
[2021-10-14 17:56:41.71765] [23200] [error] flowers. Row: 14. Column kind undefined
[2021-10-14 17:56:41.71768] [23200] [error] flowers. Row: 14. Column max_height undefined
[2021-10-14 17:56:41.71771] [23200] [error] flowers. Row: 14. Column max_width undefined
[2021-10-14 17:56:41.71775] [23200] [error] flowers. Row: 14. Column min_height undefined
[2021-10-14 17:56:41.71778] [23200] [error] flowers. Row: 14. Column min_width undefined
[2021-10-14 17:56:41.71780] [23200] [error] flowers. Row: 14. Column pig_latin undefined
[2021-10-14 17:56:41.71783] [23200] [error] flowers. Row: 14. Column planted undefined
[2021-10-14 17:56:41.71786] [23200] [error] flowers. Row: 14. Column thumbnail undefined
[2021-10-14 17:56:41.71790] [23200] [error] flowers. Row: 15. Column kind undefined
[2021-10-14 17:56:41.71793] [23200] [error] flowers. Row: 15. Column max_height undefined
[2021-10-14 17:56:41.71796] [23200] [error] flowers. Row: 15. Column max_width undefined
[2021-10-14 17:56:41.71799] [23200] [error] flowers. Row: 15. Column min_height undefined
[2021-10-14 17:56:41.71802] [23200] [error] flowers. Row: 15. Column min_width undefined
[2021-10-14 17:56:41.71805] [23200] [error] flowers. Row: 15. Column pig_latin undefined
[2021-10-14 17:56:41.71808] [23200] [error] flowers. Row: 15. Column planted undefined
[2021-10-14 17:56:41.71812] [23200] [error] flowers. Row: 15. Column thumbnail undefined
[2021-10-14 17:56:41.71815] [23200] [error] flowers. Row: 16. Column kind undefined
[2021-10-14 17:56:41.71818] [23200] [error] flowers. Row: 16. Column max_height undefined
[2021-10-14 17:56:41.71821] [23200] [error] flowers. Row: 16. Column max_width undefined
[2021-10-14 17:56:41.71824] [23200] [error] flowers. Row: 16. Column min_height undefined
[2021-10-14 17:56:41.71827] [23200] [error] flowers. Row: 16. Column min_width undefined
[2021-10-14 17:56:41.71830] [23200] [error] flowers. Row: 16. Column pig_latin undefined
[2021-10-14 17:56:41.71833] [23200] [error] flowers. Row: 16. Column planted undefined
[2021-10-14 17:56:41.71836] [23200] [error] flowers. Row: 16. Column thumbnail undefined
[2021-10-14 17:56:41.71839] [23200] [error] flowers. Row: 17. Column kind undefined
[2021-10-14 17:56:41.71842] [23200] [error] flowers. Row: 17. Column max_height undefined
[2021-10-14 17:56:41.71845] [23200] [error] flowers. Row: 17. Column max_width undefined
[2021-10-14 17:56:41.71848] [23200] [error] flowers. Row: 17. Column min_height undefined
[2021-10-14 17:56:41.71851] [23200] [error] flowers. Row: 17. Column min_width undefined
[2021-10-14 17:56:41.71854] [23200] [error] flowers. Row: 17. Column pig_latin undefined
[2021-10-14 17:56:41.71857] [23200] [error] flowers. Row: 17. Column planted undefined
[2021-10-14 17:56:41.71860] [23200] [error] flowers. Row: 17. Column thumbnail undefined
[2021-10-14 17:56:41.71864] [23200] [error] flowers. Row: 18. Column kind undefined
[2021-10-14 17:56:41.71866] [23200] [error] flowers. Row: 18. Column max_height undefined
[2021-10-14 17:56:41.71869] [23200] [error] flowers. Row: 18. Column max_width undefined
[2021-10-14 17:56:41.71872] [23200] [error] flowers. Row: 18. Column min_height undefined
[2021-10-14 17:56:41.71876] [23200] [error] flowers. Row: 18. Column min_width undefined
[2021-10-14 17:56:41.71879] [23200] [error] flowers. Row: 18. Column pig_latin undefined
[2021-10-14 17:56:41.71882] [23200] [error] flowers. Row: 18. Column planted undefined
[2021-10-14 17:56:41.71884] [23200] [error] flowers. Row: 18. Column thumbnail undefined
[2021-10-14 17:56:41.71888] [23200] [error] flowers. Row: 19. Column kind undefined
[2021-10-14 17:56:41.71891] [23200] [error] flowers. Row: 19. Column max_height undefined
[2021-10-14 17:56:41.71894] [23200] [error] flowers. Row: 19. Column max_width undefined
[2021-10-14 17:56:41.71897] [23200] [error] flowers. Row: 19. Column min_height undefined
[2021-10-14 17:56:41.71900] [23200] [error] flowers. Row: 19. Column min_width undefined
[2021-10-14 17:56:41.71903] [23200] [error] flowers. Row: 19. Column pig_latin undefined
[2021-10-14 17:56:41.71906] [23200] [error] flowers. Row: 19. Column planted undefined
[2021-10-14 17:56:41.71909] [23200] [error] flowers. Row: 19. Column thumbnail undefined
[2021-10-14 17:56:41.71912] [23200] [error] flowers. Row: 20. Column kind undefined
[2021-10-14 17:56:41.71915] [23200] [error] flowers. Row: 20. Column max_height undefined
[2021-10-14 17:56:41.71918] [23200] [error] flowers. Row: 20. Column max_width undefined
[2021-10-14 17:56:41.71921] [23200] [error] flowers. Row: 20. Column min_height undefined
[2021-10-14 17:56:41.71924] [23200] [error] flowers. Row: 20. Column min_width undefined
[2021-10-14 17:56:41.71927] [23200] [error] flowers. Row: 20. Column pig_latin undefined
[2021-10-14 17:56:41.71930] [23200] [error] flowers. Row: 20. Column planted undefined
[2021-10-14 17:56:41.71933] [23200] [error] flowers. Row: 20. Column thumbnail undefined
[2021-10-14 17:56:41.71936] [23200] [warn] flowers. Row: 20. Duplicate scientific_name: Azalea
[2021-10-14 17:56:41.71940] [23200] [error] flowers. Row: 21. Column kind undefined
[2021-10-14 17:56:41.71943] [23200] [error] flowers. Row: 21. Column max_height undefined
[2021-10-14 17:56:41.71946] [23200] [error] flowers. Row: 21. Column max_width undefined
[2021-10-14 17:56:41.71949] [23200] [error] flowers. Row: 21. Column min_height undefined
[2021-10-14 17:56:41.71952] [23200] [error] flowers. Row: 21. Column min_width undefined
[2021-10-14 17:56:41.71955] [23200] [error] flowers. Row: 21. Column pig_latin undefined
[2021-10-14 17:56:41.71958] [23200] [error] flowers. Row: 21. Column planted undefined
[2021-10-14 17:56:41.71961] [23200] [error] flowers. Row: 21. Column thumbnail undefined
[2021-10-14 17:56:41.71964] [23200] [warn] flowers. Row: 21. Duplicate scientific_name: Azalea
[2021-10-14 17:56:41.71967] [23200] [error] flowers. Row: 22. Column kind undefined
[2021-10-14 17:56:41.71970] [23200] [error] flowers. Row: 22. Column max_height undefined
[2021-10-14 17:56:41.71973] [23200] [error] flowers. Row: 22. Column max_width undefined
[2021-10-14 17:56:41.71976] [23200] [error] flowers. Row: 22. Column min_height undefined
[2021-10-14 17:56:41.71979] [23200] [error] flowers. Row: 22. Column min_width undefined
[2021-10-14 17:56:41.71982] [23200] [error] flowers. Row: 22. Column pig_latin undefined
[2021-10-14 17:56:41.71985] [23200] [error] flowers. Row: 22. Column planted undefined
[2021-10-14 17:56:41.71988] [23200] [error] flowers. Row: 22. Column thumbnail undefined
[2021-10-14 17:56:41.71991] [23200] [error] flowers. Row: 23. Column kind undefined
[2021-10-14 17:56:41.71995] [23200] [error] flowers. Row: 23. Column max_height undefined
[2021-10-14 17:56:41.71997] [23200] [error] flowers. Row: 23. Column max_width undefined
[2021-10-14 17:56:41.72001] [23200] [error] flowers. Row: 23. Column min_height undefined
[2021-10-14 17:56:41.72004] [23200] [error] flowers. Row: 23. Column min_width undefined
[2021-10-14 17:56:41.72007] [23200] [error] flowers. Row: 23. Column pig_latin undefined
[2021-10-14 17:56:41.72009] [23200] [error] flowers. Row: 23. Column planted undefined
[2021-10-14 17:56:41.72012] [23200] [error] flowers. Row: 23. Column thumbnail undefined
[2021-10-14 17:56:41.72016] [23200] [error] flowers. Row: 24. Column kind undefined
[2021-10-14 17:56:41.72019] [23200] [error] flowers. Row: 24. Column max_height undefined
[2021-10-14 17:56:41.72022] [23200] [error] flowers. Row: 24. Column max_width undefined
[2021-10-14 17:56:41.72025] [23200] [error] flowers. Row: 24. Column min_height undefined
[2021-10-14 17:56:41.72028] [23200] [error] flowers. Row: 24. Column min_width undefined
[2021-10-14 17:56:41.72031] [23200] [error] flowers. Row: 24. Column pig_latin undefined
[2021-10-14 17:56:41.72034] [23200] [error] flowers. Row: 24. Column planted undefined
[2021-10-14 17:56:41.72037] [23200] [error] flowers. Row: 24. Column thumbnail undefined
[2021-10-14 17:56:41.72040] [23200] [error] flowers. Row: 25. Column kind undefined
[2021-10-14 17:56:41.72043] [23200] [error] flowers. Row: 25. Column max_height undefined
[2021-10-14 17:56:41.72046] [23200] [error] flowers. Row: 25. Column max_width undefined
[2021-10-14 17:56:41.72049] [23200] [error] flowers. Row: 25. Column min_height undefined
[2021-10-14 17:56:41.72052] [23200] [error] flowers. Row: 25. Column min_width undefined
[2021-10-14 17:56:41.72055] [23200] [error] flowers. Row: 25. Column pig_latin undefined
[2021-10-14 17:56:41.72058] [23200] [error] flowers. Row: 25. Column planted undefined
[2021-10-14 17:56:41.72061] [23200] [error] flowers. Row: 25. Column thumbnail undefined
[2021-10-14 17:56:41.72064] [23200] [error] flowers. Row: 26. Column kind undefined
[2021-10-14 17:56:41.72069] [23200] [error] flowers. Row: 26. Column max_height undefined
[2021-10-14 17:56:41.72072] [23200] [error] flowers. Row: 26. Column max_width undefined
