"common_name","scientific_name","aliases","height","width","publish"
"Japanese maple","Acer palmatum","Smooth Japanese maple, irohamomiji (イロハモミジ), or momiji (栴)","","","Yes"
"Japanese Spiraea","Spiraea japonica","Japanese meadowsweet","","","Yes"
"Bush Bonanza","Anigozanthos hybrid syn. Rambubona Kangaroo Paw","","","","Yes"
"Bush Crystal","Anigozanthos hybrid Kangaroo Paw","","60cm","45cm","Yes"
"Bush Pearl","Anigozanthos hybrid","","","","Yes"
"Bush Diamond","Anigozanthos hybrid syn. Rambodiam","","","","Yes"
"Kangaroo Paw 5 - Green","Anigozanthos viridis","","","","Yes"
"Cape Arid Climber","Kennedia beckxiana","","","","Yes"
"Coral Vine","Kennedia coccinea","","","","Yes"
"Kennedia macrophylla","Kennedia macrophylla","","","","Yes"
"Black Coral Pea","Kennedia nigricans","","","","Yes"
"Dusky Coral Pea","Kennedia rubicunda","","","","Yes"
"Kunzea","Kunzea baxterii nana","'Mandy's Surprise'","","","Yes"
"Land cress","Barbarea verna","American cress, bank cress, black wood cress, Belle Isle cress, Bermuda cress, creasy greens, early wintercress, early yellowrocket, scurvy cress and upland cress","20cm","20cm","Yes"
"Lechenaultia","Lechenaultia","'Midnight Blue'","","","Yes"
"Lily","Lilium","Asiatic Matisse Lily, Oriental Lily","","","Yes"
"Lovage","Levisticum officinale","","2m","1.5m","Yes"
"Marigold","Tagetes erecta","Aztec marigold, 'Jezebel', Mexican marigold","","","Yes"
"Marmalade Bush","Streptosolen jamesonii","Orange Browallia","","","Yes"
"Mexican Mock Orange","Philadelphus mexicanus","","","","Yes"
"Monstera","Monstera deliciosa","Balazo, Ceriman","","","Yes"
"Morning Glory","Ipomoea lacunosa","Pitted morningglory, Whitestar potato","","","Yes"
"Moorpark Apricot","Prunus armeniaca","","1.8-2.0m","1.5-2m","Yes"
"Mugwort","Artemisia vulgaris","Chrysanthemum weed, common wormwood, felon herb, naughty man, old man, old Uncle Henry, riverside wormwood, sailor's tobacco, St. John's plant","1.2m","1.5m","Yes"
"Narcissus","Narcissus papyraceus","Paperwhite","","","Yes"
"Nasturtium","Tropaeolum majus","Nose-tweaker, Nose-twister","1-2m","45cm","Yes"
"Nierembergia","Nierembergia","'Blue Wonder'","30cm","30cm","Yes"
"Oregano","Origanum vulgare","Wild marjoram (not sweet marjoram)","80cm","","Yes"
"Parsley","Petroselinum crispum","Garden parsley","","","Yes"
"Passionfruit Daisy","Tagetes sp","","1.5-2m","","Yes"
"Pelargonium","Pelargonium","","","","Yes"
"Pennywort","Centella asiatica","Arthritis Herb, Asiatic pennywort, centella, Gotu Kola, Indian pennywort","","","Yes"
"Perezii Blue","Limonium perezii","'Perennial Statice'","","","Yes"
"Long-leaf Wax Flower","Philotheca myoporoides","","","","Yes"
"Dogsbane","Plectranthus caninus","Coleus canina","","","Yes"
"Plectranthus ecklonii 1","Plectranthus ecklonii","","1.5m","1.5m","Yes"
"Plectranthus ecklonii 2","Plectranthus ecklonii","'Alba'","1m","1m","Yes"
"Plectranthus saccatus","Plectranthus saccatus","","1.5m","2m","Yes"
"Purpurea","Dodonaea viscosa","","3m","1.5m","Yes"
"Rainbow Chard","Beta vulgaris 1","Silverbeet","30cm","30cm","Yes"
"Red Japanese Spinach","Brassica rapa var. perviridis 'Red'","Red Komatsuma","45cm","30cm","Yes"
"Red Spinach","Spinacia oleracea","","1.2m","30cm","Yes"
"Rice Flower 1","Ozothamnus","'Cosmic'","","","Yes"
"Rice Flower 2","Pimelea rosea","Pale Pink Rice Flower","60cm","30cm","Yes"
"Rose 1","Rosa","","5m","3m","Yes"
"Rose 2","Rosa","","5m","2m","Yes"
"Rose 3","Rosa","","1.2m","1m","Yes"
"Rose 4","Rosa","","","","Yes"
"Rosemary","Rosmarinus officinalis","Anthos","","","Yes"
"Common sage","Salvia officinalis","Garden sage","20cm","20cm","Yes"
"Bethellii","Salvia involucrata","Rosy-leaf","1m","1m","Yes"
"Sage 3","Salvia involucrata","","1m","1m","Yes"
"Bee sage","Salvia apiana","Sacred sage, white sage","1m","1m","Yes"
"Shady Lady® Crimson","Telopea speciosissima x oreades","","3m","1.5m","Yes"
"Siegfredia darwinioides","Siegfredia darwinioides","","","","Yes"
"Silver lace bush","Tanacetum ptarmiciflorum","Silver lace bush","1m","50cm","Yes"
"Smoke Tree","Cotinus coggygria","Smoke bush","","","Yes"
"Snake bean","Vigna unguiculata subsp. sesquipedalis","Asparagus bean, bodi, bora, Chinese long bean, long-podded cowpea, pea bean, yardlong bean","46cm","10cm","Yes"
"Spearmint","Mentha spicata","Common mint, garden mint, lamb mint, mackerel mint, Mentha spicata 'Moroccan', Mentha spicata 'Nana', Mentha viridis","45cm","1m","Yes"
"Spiked mint-bush","Prostanthera phylicifolia","","1.5m","1m","Yes"
"Spinach Beet","Beta vulgaris 2","Perpetual Spinach","45cm","35cm","Yes"
"Spring Snowflake","Leucojum vernum","","","","Yes"
"Sweet Lilli","Agastache aurantiaca","Hummingbird mints, Giant hyssops","1.1m","70cm","Yes"
"Tamarix aphylla","Tamarix aphylla","Athel pine, Athel tamarisk, Athel tree and saltcedar","18m","5m","Yes"
"Tansy","Tanacetum vulgare","Bitter buttons, cow bitter, common tansy, golden buttons","1m","1m","Yes"
"Tea Tree 1","Leptospermum obovatum anisophyllea","A type of myrtle","","","Yes"
"Tea Tree 2","Leptospermum ","A type of myrtle, 'Rudolph'","2-3m","1.5-2m","Yes"
"Warrigul greens","Tetragonia tetragonioides", "Warrigul spinach","2m","3m","Yes"
"Thelionema caespitosum","Thelionema caespitosum","Stypandra caespitosa","30-90cm","30-50cm","Yes"
"Payne's Thryptomene","Thryptomene saxicola 'F.C. Payne'","","1m","1.5m","Yes"
"Trixie® Nectarine","Prunus persica 'Nectazee'","", "1.5m","1.5m","Yes"
"Turmeric","Curcuma longa","Part of the ginger family","0.5m","0.5m","Yes"
"Vietnamese Mint","Persicaria odarata","Cambodian mint, hot mint, laksa leaf, praew leaf, Vietnamese cilantro, Vietnamese coriander","90cm","30cm","Yes"
"Viola 1","Viola tricolor","Come-and-cuddle-me, Heart's delight, Heartsease, Heart's ease, Jack-jump-up-and-kiss-me, Johnny jump up, Love-in-idleness, Three faces in a hood, Tickle-my-fancy, Wild pansy, Yellow Pansy","","","Yes"
"Viola 2","Viola x wittrockiana","Garden pansy, Pansy","","","Yes"
"Viola 3","Viola","Violet","","","Yes"
"White Cane Begonia","Begonia hybrid","","","","Yes"
"White Gaura","Oenothera lindheimeri","Indian Feather, Lindheimer's Beeblossom, Lindheimer's Clockweed, Pink Gaura","","","Yes"
"Wisteria","Wisteria","","","","Yes"
"Woolly Bush","Adenanthos sericeus","'Silver Silk'","","","Yes"
"Wormwood","Artemisia","'Powis Castle'","70cm","70cm","Yes"
"Wulfen Spurge","Euphorbia characias subsp. wulfenii","Albanian spurge, Mediterranean Spurge","1m","1m","Yes"
"Yarrow","Archillea millifolium","Common yarrow","0.6m","0.6m","Yes"
"Zion Red","Osteospermum ecklonis","Blue-and-white daisy bush, Cape marguerite, Star of the veldt, Sundays river daisy, Van Staden's river daisy, White daisy bush","","","Yes"
