"color","hex","name","rgb"
"green3","#00CD00","green3","rgb(0, 205, 0)"
"green4","#008B00","green4","rgb(0, 139, 0)"
"GreenYellow","#ADFF2F","GreenYellow","rgb(173, 255, 47)"
"grey0","#000000","grey0","rgb(0, 0, 0)"
"grey1","#030303","grey1","rgb(3, 3, 3)"
"grey10","#1A1A1A","grey10","rgb(26, 26, 26)"
"grey100","#FFFFFF","grey100","rgb(255, 255, 255)"
"grey100","#FFFFFF","grey100","rgb(255, 255, 255)"
"grey11","#1C1C1C","grey11","rgb(28, 28, 28)"
"grey12","#1F1F1F","grey12","rgb(31, 31, 31)"
"grey13","#212121","grey13","rgb(33, 33, 33)"
"grey14","#242424","grey14","rgb(36, 36, 36)"
"grey15","#262626","grey15","rgb(38, 38, 38)"
"grey16","#292929","grey16","rgb(41, 41, 41)"
"grey17","#2B2B2B","grey17","rgb(43, 43, 43)"
"grey18","#2E2E2E","grey18","rgb(46, 46, 46)"
"grey19","#303030","grey19","rgb(48, 48, 48)"
"grey2","#050505","grey2","rgb(5, 5, 5)"
"grey20","#333333","grey20","rgb(51, 51, 51)"
"grey21","#363636","grey21","rgb(54, 54, 54)"
"grey22","#383838","grey22","rgb(56, 56, 56)"
"grey23","#3B3B3B","grey23","rgb(59, 59, 59)"
"grey24","#3D3D3D","grey24","rgb(61, 61, 61)"
"grey25","#404040","grey25","rgb(64, 64, 64)"
"grey26","#424242","grey26","rgb(66, 66, 66)"
"grey27","#454545","grey27","rgb(69, 69, 69)"
"grey28","#474747","grey28","rgb(71, 71, 71)"
"grey29","#4A4A4A","grey29","rgb(74, 74, 74)"
"grey3","#080808","grey3","rgb(8, 8, 8)"
"grey30","#4D4D4D","grey30","rgb(77, 77, 77)"
"grey31","#4F4F4F","grey31","rgb(79, 79, 79)"
"grey32","#525252","grey32","rgb(82, 82, 82)"
"grey33","#545454","grey33","rgb(84, 84, 84)"
"grey34","#575757","grey34","rgb(87, 87, 87)"
"grey35","#595959","grey35","rgb(89, 89, 89)"
"grey36","#5C5C5C","grey36","rgb(92, 92, 92)"
"grey37","#5E5E5E","grey37","rgb(94, 94, 94)"
"grey38","#616161","grey38","rgb(97, 97, 97)"
"grey39","#636363","grey39","rgb(99, 99, 99)"
"grey4","#0A0A0A","grey4","rgb(10, 10, 10)"
"grey40","#666666","grey40","rgb(102, 102, 102)"
"grey41","#696969","grey41","rgb(105, 105, 105)"
"grey42","#6B6B6B","grey42","rgb(107, 107, 107)"
"grey43","#6E6E6E","grey43","rgb(110, 110, 110)"
"grey44","#707070","grey44","rgb(112, 112, 112)"
"grey45","#737373","grey45","rgb(115, 115, 115)"
"grey46","#757575","grey46","rgb(117, 117, 117)"
"grey47","#787878","grey47","rgb(120, 120, 120)"
"grey48","#7A7A7A","grey48","rgb(122, 122, 122)"
"grey49","#7D7D7D","grey49","rgb(125, 125, 125)"
"grey5","#0D0D0D","grey5","rgb(13, 13, 13)"
"grey50","#7F7F7F","grey50","rgb(127, 127, 127)"
"grey51","#828282","grey51","rgb(130, 130, 130)"
"grey52","#858585","grey52","rgb(133, 133, 133)"
"grey53","#878787","grey53","rgb(135, 135, 135)"
"grey54","#8A8A8A","grey54","rgb(138, 138, 138)"
"grey55","#8C8C8C","grey55","rgb(140, 140, 140)"
"grey56","#8F8F8F","grey56","rgb(143, 143, 143)"
"grey57","#919191","grey57","rgb(145, 145, 145)"
"grey58","#949494","grey58","rgb(148, 148, 148)"
