"scientific_name","url"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","http://www.herbherbert.com/cgi-bin/pdf/basil_perennial.pdf"
"Origanum vulgare","https://en.wikipedia.org/wiki/Oregano"
"Osteospermum ecklonis","http://ballaustralia.com"
"Osteospermum ecklonis","https://en.wikipedia.org/wiki/Dimorphotheca_ecklonis"
"Ozothamnus","http://aussiecolours.com.au"
"Pennisetum setaceum","https://en.wikipedia.org/wiki/Pennisetum_setaceum"
"Penstemon cv","https://en.wikipedia.org/wiki/Penstemon"
"Persicaria affinis","https://en.wikipedia.org/wiki/Persicaria_wallichii"
"Persicaria odarata","https://en.wikipedia.org/wiki/Persicaria_odorata"
"Persicaria odarata","http://scotsburn.biz"
"Petroselinum crispum","https://en.wikipedia.org/wiki/Parsley"
"Philadelphus mexicanus","https://en.wikipedia.org/wiki/Philadelphus_mexicanus"
"Philotheca myoporoides","https://en.wikipedia.org/wiki/Philotheca_myoporoides"
"Pimelea rosea","http://www.kuranga.com.au/"
"Plectranthus caninus","https://en.wikipedia.org/wiki/Plectranthus_caninus"
"Plectranthus ecklonii 1","https://en.wikipedia.org/wiki/Plectranthus"
"Plectranthus ecklonii 2","https://en.wikipedia.org/wiki/Plectranthus"
"Plectranthus saccatus","https://en.wikipedia.org/wiki/Plectranthus"
"Portulacaria afra","https://en.wikipedia.org/wiki/Portulacaria"
"Prostanthera phylicifolia","https://en.wikipedia.org/wiki/Prostanthera_phylicifolia"
"Rosa 1","https://en.wikipedia.org/wiki/Rose"
"Rosa 2","https://en.wikipedia.org/wiki/Rose"
"Rosa 3","https://en.wikipedia.org/wiki/Rose"
"Rosa 4","https://en.wikipedia.org/wiki/Rose"
"Rotheca myricoides","https://en.wikipedia.org/wiki/Rotheca_myricoides"
"Salvia apiana","https://en.wikipedia.org/wiki/Salvia_apiana"
"Salvia involucrata","https://www.rhs.org.uk/plants/details?plantid=5348"
"Salvia involucrata","https://en.wikipedia.org/wiki/Salvia_involucrata"
"Salvia officinalis","https://en.wikipedia.org/wiki/Salvia_officinalis"
"Siegfredia darwinioides","http://touchofclassplants.com"
"Spiraea japonica","https://en.wikipedia.org/wiki/Spiraea_japonica"
"Streptosolen jamesonii","https://en.wikipedia.org/wiki/Streptosolen_jamesonii"
"Tagetes sp","http://www.herbherbert.com/pdf/passionfruit_daisy.pdf"
"Tamarix aphylla","https://en.wikipedia.org/wiki/Tamarix_aphylla"
"Tanacetum ptarmiciflorum","https://en.wikipedia.org/wiki/Tanacetum_ptarmiciflorum"
"Tanacetum ptarmiciflorum","https://en.wikipedia.org/wiki/Tanacetum"
"Tanacetum vulgare","https://en.wikipedia.org/wiki/Tansy"
"Tanacetum vulgare","http://renaissanceherbs.com.au/"
"Thelionema caespitosum","http://www.kuranga.com.au/"
"Tibouchina urvilleana","https://en.wikipedia.org/wiki/Tibouchina"
"Tropaeolum majus","http://scotsburn.biz"
"Tropaeolum majus","https://en.wikipedia.org/wiki/Tropaeolum"
"Valerianella locusta","https://en.wikipedia.org/wiki/Valerianella_locusta"
"Vigna unguiculata subsp. sesquipedalis","https://en.wikipedia.org/wiki/Vigna_unguiculata_subsp._sesquipedalis"
"Vigna unguiculata subsp. sesquipedalis","http://scotsburn.biz"
"Viola","https://en.wikipedia.org/wiki/Viola_tricolor"
"Viola","https://commons.wikimedia.org/wiki/Viola_%C3%97_wittrockiana"
"Viola","https://en.wikipedia.org/wiki/Viola_(plant)"
"Viola tricolor","https://en.wikipedia.org/wiki/Viola_tricolor"
"Viola tricolor","https://commons.wikimedia.org/wiki/Viola_%C3%97_wittrockiana"
"Viola tricolor","https://en.wikipedia.org/wiki/Viola_(plant)"
"Viola x wittrockiana","https://en.wikipedia.org/wiki/Viola_tricolor"
"Viola x wittrockiana","https://commons.wikimedia.org/wiki/Viola_%C3%97_wittrockiana"
"Viola x wittrockiana","https://en.wikipedia.org/wiki/Viola_(plant)"
"Zantedeschia elliottiana","https://en.wikipedia.org/wiki/Zantedeschia_elliottiana"
