"scientific_name","attribute_name","range"
"Dietes","Edible","No"
"Dietes","Habit","Unknown"
"Dietes","Kind","Generic"
"Dietes","Native","No"
"Dietes","Sun tolerance","Unknown"
"Diplarrena latifolia","Edible","No"
"Diplarrena latifolia","Habit","Unknown"
"Diplarrena latifolia","Kind","Generic"
"Diplarrena latifolia","Native","Yes"
"Diplarrena latifolia","Sun tolerance","Unknown"
"Elaeocarpus reticulatus","Edible","No"
"Elaeocarpus reticulatus","Habit","Shrub, Tree"
"Elaeocarpus reticulatus","Kind","Generic"
"Elaeocarpus reticulatus","Native","Yes"
"Elaeocarpus reticulatus","Sun tolerance","Full sun, Part shade"
"Eremorphila glabra","Edible","No"
"Eremorphila glabra","Habit","Shrub"
"Eremorphila glabra","Kind","Generic"
"Eremorphila glabra","Native","Yes"
"Eremorphila glabra","Sun tolerance","Full sun, Part shade"
"Eremorphila nivea","Edible","No"
"Eremorphila nivea","Habit","Shrub"
"Eremorphila nivea","Kind","Generic"
"Eremorphila nivea","Native","Yes"
"Eremorphila nivea","Sun tolerance","Full sun, Part shade"
"Euphorbia characias subsp. wulfenii","Edible","No"
"Euphorbia characias subsp. wulfenii","Habit","Unknown"
"Euphorbia characias subsp. wulfenii","Kind","Generic"
"Euphorbia characias subsp. wulfenii","Native","No"
"Euphorbia characias subsp. wulfenii","Sun tolerance","Unknown"
"Euphorbia milii","Edible","No"
"Euphorbia milii","Habit","Unknown"
"Euphorbia milii","Kind","Generic"
"Euphorbia milii","Native","No"
"Euphorbia milii","Sun tolerance","Unknown"
"Eutaxia obovata nana","Edible","No"
"Eutaxia obovata nana","Habit","Unknown"
"Eutaxia obovata nana","Kind","Generic"
"Eutaxia obovata nana","Native","Yes"
"Eutaxia obovata nana","Sun tolerance","Unknown"
"Ficus carica","Edible","Fruit"
"Ficus carica","Habit","Tree"
"Ficus carica","Kind","Generic"
"Ficus carica","Native","No"
"Ficus carica","Sun tolerance","Full sun, Part shade"
"Fuchsia 2","Edible","No"
"Fuchsia 2","Habit","Shrub"
"Fuchsia 2","Kind","Generic"
"Fuchsia 2","Native","No"
"Fuchsia 2","Sun tolerance","Full sun"
"Gazania","Edible","No"
"Gazania","Habit","Unknown"
"Gazania","Kind","Generic"
"Gazania","Native","No"
"Gazania","Sun tolerance","Unknown"
"Goodenia ovata","Edible","No"
"Goodenia ovata","Habit","Prostrate"
"Goodenia ovata","Kind","Generic"
"Goodenia ovata","Native","Yes"
"Goodenia ovata","Sun tolerance","Full sun, Part shade"
"Grevillea 1","Edible","No"
"Grevillea 1","Habit","Unknown"
"Grevillea 1","Kind","Generic"
"Grevillea 1","Native","Yes"
"Grevillea 1","Sun tolerance","Unknown"
"Grevillea 2","Edible","No"
"Grevillea 2","Habit","Unknown"
"Grevillea 2","Kind","Generic"
"Grevillea 2","Native","Yes"
"Grevillea 2","Sun tolerance","Unknown"
"Grevillea 3","Edible","No"
"Grevillea 3","Habit","Unknown"
"Grevillea 3","Kind","Generic"
"Grevillea 3","Native","Yes"
"Grevillea 3","Sun tolerance","Unknown"
"Grevillea 4","Edible","No"
"Grevillea 4","Habit","Unknown"
"Grevillea 4","Kind","Generic"
"Grevillea 4","Native","Yes"
"Grevillea 4","Sun tolerance","Unknown"
"Grevillea lanigera","Edible","No"
"Grevillea lanigera","Habit","Unknown"
"Grevillea lanigera","Kind","Generic"
"Grevillea lanigera","Native","Yes"
"Grevillea lanigera","Sun tolerance","Unknown"
"Hardenbergia violacea","Edible","No"
"Hardenbergia violacea","Habit","Unknown"
"Hardenbergia violacea","Kind","Generic"
"Hardenbergia violacea","Native","Yes"
"Hardenbergia violacea","Sun tolerance","Unknown"
"Hedera","Edible","No"
"Hedera","Habit","Unknown"
"Hedera","Kind","Generic"
"Hedera","Native","No"
"Hedera","Sun tolerance","Unknown"
"Heliotropium arborescens","Edible","No"
"Heliotropium arborescens","Habit","Unknown"
"Heliotropium arborescens","Kind","Generic"
"Heliotropium arborescens","Native","No"
"Heliotropium arborescens","Sun tolerance","Unknown"
"Helleborus argutifolius","Edible","No"
"Helleborus argutifolius","Habit","Unknown"
"Helleborus argutifolius","Kind","Generic"
"Helleborus argutifolius","Native","No"
"Helleborus argutifolius","Sun tolerance","Unknown"
"Helleborus foetidus","Edible","No"
"Helleborus foetidus","Habit","Unknown"
"Helleborus foetidus","Kind","Generic"
"Helleborus foetidus","Native","No"
"Helleborus foetidus","Sun tolerance","Unknown"
"Heuchera 1","Edible","No"
"Heuchera 1","Habit","Unknown"
"Heuchera 1","Kind","Generic"
"Heuchera 1","Native","No"
"Heuchera 1","Sun tolerance","Unknown"
"Heuchera 2","Edible","No"
"Heuchera 2","Habit","Unknown"
"Heuchera 2","Kind","Generic"
"Heuchera 2","Native","No"
"Heuchera 2","Sun tolerance","Unknown"
"Hibbertia obtusifolia","Edible","No"
"Hibbertia obtusifolia","Habit","Prostrate"
"Hibbertia obtusifolia","Kind","Generic"
"Hibbertia obtusifolia","Native","Yes"
"Hibbertia obtusifolia","Sun tolerance","Unknown"
"Hibbertia scandens","Edible","No"
"Hibbertia scandens","Habit","Vine"
"Hibbertia scandens","Kind","Generic"
"Hibbertia scandens","Native","Yes"
"Hibbertia scandens","Sun tolerance","Unknown"
"Hibiscus","Edible","No"
"Hibiscus","Habit","Unknown"
"Hibiscus","Kind","Generic"
"Hibiscus","Native","No"
"Hibiscus","Sun tolerance","Unknown"
"Hydrangea","Edible","No"
"Hydrangea","Habit","Unknown"
"Hydrangea","Kind","Generic"
"Hydrangea","Native","No"
"Hydrangea","Sun tolerance","Unknown"
"Hymenosporum","Edible","No"
"Hymenosporum","Habit","Dwarf"
"Hymenosporum","Kind","Generic"
"Hymenosporum","Native","Yes"
"Hymenosporum","Sun tolerance","Full sun, Part shade, Shade"
"Ipomoea lacunosa","Edible","No"
"Ipomoea lacunosa","Habit","Unknown"
"Ipomoea lacunosa","Kind","Generic"
"Ipomoea lacunosa","Native","No"
"Ipomoea lacunosa","Sun tolerance","Unknown"
"Iris unguicularis","Edible","No"
"Iris unguicularis","Habit","Unknown"
"Iris unguicularis","Kind","Generic"
"Iris unguicularis","Native","No"
"Iris unguicularis","Sun tolerance","Unknown"
"Iris unknown","Edible","No"
"Iris unknown","Habit","Unknown"
"Iris unknown","Kind","Generic"
"Iris unknown","Native","No"
"Iris unknown","Sun tolerance","Unknown"
"Isopogon latifolius","Edible","No"
"Isopogon latifolius","Habit","Unknown"
"Isopogon latifolius","Kind","Generic"
"Isopogon latifolius","Native","Yes"
"Isopogon latifolius","Sun tolerance","Unknown"
"Jacaranda mimosifolia","Edible","No"
"Jacaranda mimosifolia","Habit","Unknown"
"Jacaranda mimosifolia","Kind","Generic"
"Jacaranda mimosifolia","Native","No"
"Jacaranda mimosifolia","Sun tolerance","Unknown"
"Kennedia beckxiana","Edible","No"
"Kennedia beckxiana","Habit","Vine"
"Kennedia beckxiana","Kind","Generic"
"Kennedia beckxiana","Native","Yes"
"Kennedia beckxiana","Sun tolerance","Full sun"
"Kennedia coccinea","Edible","No"
"Kennedia coccinea","Habit","Vine"
"Kennedia coccinea","Kind","Generic"
"Kennedia coccinea","Native","Yes"
"Kennedia coccinea","Sun tolerance","Full sun, Part shade"
"Kennedia macrophylla","Edible","No"
"Kennedia macrophylla","Habit","Vine"
"Kennedia macrophylla","Kind","Generic"
"Kennedia macrophylla","Native","Yes"
"Kennedia macrophylla","Sun tolerance","Full sun"
"Kennedia nigricans","Edible","No"
"Kennedia nigricans","Habit","Vine"
"Kennedia nigricans","Kind","Generic"
"Kennedia nigricans","Native","Yes"
"Kennedia nigricans","Sun tolerance","Full sun, Part shade"
"Kennedia prostrata","Edible","No"
"Kennedia prostrata","Habit","Prostrate"
"Kennedia prostrata","Kind","Generic"
"Kennedia prostrata","Native","Yes"
"Kennedia prostrata","Sun tolerance","Full sun, Part shade"
"Kennedia rubicunda","Edible","No"
"Kennedia rubicunda","Habit","Vine"
"Kennedia rubicunda","Kind","Generic"
"Kennedia rubicunda","Native","Yes"
"Kennedia rubicunda","Sun tolerance","Full sun, Part shade"
"Kunzea baxterii nana","Edible","No"
"Kunzea baxterii nana","Habit","Unknown"
"Kunzea baxterii nana","Kind","Generic"
"Kunzea baxterii nana","Native","Yes"
"Kunzea baxterii nana","Sun tolerance","Unknown"
"Lactuca savita","Edible","Leaf"
"Lactuca savita","Habit","Dwarf"
"Lactuca savita","Kind","Generic"
"Lactuca savita","Native","No"
"Lactuca savita","Sun tolerance","Full sun"
"Lagerstromeia indica x L. Fauriei","Edible","No"
"Lagerstromeia indica x L. Fauriei","Habit","Unknown"
"Lagerstromeia indica x L. Fauriei","Kind","Generic"
"Lagerstromeia indica x L. Fauriei","Native","No"
"Lagerstromeia indica x L. Fauriei","Sun tolerance","Unknown"
"Lamium","Edible","No"
"Lamium","Habit","Unknown"
"Lamium","Kind","Generic"
"Lamium","Native","No"
"Lamium","Sun tolerance","Unknown"
"Lechenaultia","Edible","No"
"Lechenaultia","Habit","Unknown"
"Lechenaultia","Kind","Generic"
"Lechenaultia","Native","Yes"
"Lechenaultia","Sun tolerance","Unknown"
"Lechenaultia biloba","Edible","No"
"Lechenaultia biloba","Habit","Shrub"
"Lechenaultia biloba","Kind","Generic"
"Lechenaultia biloba","Native","Yes"
"Lechenaultia biloba","Sun tolerance","Full sun"
"Leptospermum ","Edible","No"
"Leptospermum ","Habit","Tree"
"Leptospermum ","Kind","Generic"
"Leptospermum ","Native","Yes"
"Leptospermum ","Sun tolerance","Part shade"
"Leptospermum obovatum anisophyllea","Edible","No"
